"TOA5","8543","CR1000X","8543","CR1000X.Std.03.02","CPU:Est_meteo1.CR1X","5308","OneMinute"
"TIMESTAMP","RECORD","Irradiance_Avg","T_amb_Avg","RH_Avg","P_atm_Avg"
"TS","RN","W/m^2","Deg C","%","mbar"
"","","Avg","Avg","Avg","Avg"
"2021-08-10 00:00:00",877384,0,15.35,83.3,755.8435
"2021-08-10 00:01:00",877385,0,15.37,83.3,755.8446
"2021-08-10 00:02:00",877386,0,15.36,83.2,755.8381
"2021-08-10 00:03:00",877387,0,15.38,83.2,755.8369
"2021-08-10 00:04:00",877388,0,15.42,83.3,755.8342
"2021-08-10 00:05:00",877389,0,15.43,83.2,755.8314
"2021-08-10 00:06:00",877390,0,15.43,83.1,755.8317
"2021-08-10 00:07:00",877391,0,15.42,83,755.8366
"2021-08-10 00:08:00",877392,0,15.45,83.1,755.847
"2021-08-10 00:09:00",877393,0,15.45,83.1,755.8306
"2021-08-10 00:10:00",877394,0,15.46,83.1,755.8229
"2021-08-10 00:11:00",877395,0,15.42,82.9,755.8158
"2021-08-10 00:12:00",877396,0,15.4,83.1,755.8246
"2021-08-10 00:13:00",877397,0,15.36,83.3,755.8474
"2021-08-10 00:14:00",877398,0,15.33,83.5,755.8801
"2021-08-10 00:15:00",877399,0,15.27,83.7,755.8846
"2021-08-10 00:16:00",877400,0,15.26,84,755.8782
"2021-08-10 00:17:00",877401,0,15.27,84.2,755.8862
"2021-08-10 00:18:00",877402,0,15.3,84.3,755.8945
"2021-08-10 00:19:00",877403,0,15.23,84.3,755.868
"2021-08-10 00:20:00",877404,0,15.22,84.6,755.8549
"2021-08-10 00:21:00",877405,0,15.22,84.8,755.8537
"2021-08-10 00:22:00",877406,0,15.18,84.8,755.8512
"2021-08-10 00:23:00",877407,0,15.09,85,755.843
"2021-08-10 00:24:00",877408,0,15.1,85.5,755.8411
"2021-08-10 00:25:00",877409,0,15.16,85.4,755.8566
"2021-08-10 00:26:00",877410,0,15.1,85.3,755.8395
"2021-08-10 00:27:00",877411,0,15.12,85.6,755.8282
"2021-08-10 00:28:00",877412,0,15.12,85.6,755.8411
"2021-08-10 00:29:00",877413,0,15.12,85.8,755.8558
"2021-08-10 00:30:00",877414,0,15.15,85.8,755.8732
"2021-08-10 00:31:00",877415,0,15.11,85.7,755.8808
"2021-08-10 00:32:00",877416,0,15.02,85.9,755.8314
"2021-08-10 00:33:00",877417,0,14.97,86.1,755.8091
"2021-08-10 00:34:00",877418,0,14.96,86.4,755.7871
"2021-08-10 00:35:00",877419,0,14.99,86.5,755.7745
"2021-08-10 00:36:00",877420,0,14.97,86.4,755.7743
"2021-08-10 00:37:00",877421,0,14.99,86.2,755.813
"2021-08-10 00:38:00",877422,0,14.98,85.9,755.843
"2021-08-10 00:39:00",877423,0,15,85.9,755.8225
"2021-08-10 00:40:00",877424,0,14.96,85.5,755.7892
"2021-08-10 00:41:00",877425,0,14.88,84.5,755.7686
"2021-08-10 00:42:00",877426,0,14.92,84.1,755.7611
"2021-08-10 00:43:00",877427,0,14.96,84,755.7408
"2021-08-10 00:44:00",877428,0,15.05,84.1,755.7223
"2021-08-10 00:45:00",877429,0,15.09,84.2,755.6883
"2021-08-10 00:46:00",877430,0,15.1,83.9,755.6644
"2021-08-10 00:47:00",877431,0,15.02,82.7,755.6706
"2021-08-10 00:48:00",877432,0,15.02,81.8,755.6891
"2021-08-10 00:49:00",877433,0,15.02,81.3,755.6759
"2021-08-10 00:50:00",877434,0,14.99,80.6,755.6711
"2021-08-10 00:51:00",877435,0,15.02,80.3,755.6764
"2021-08-10 00:52:00",877436,0,15.05,80.1,755.6653
"2021-08-10 00:53:00",877437,0,15.09,80.1,755.6428
"2021-08-10 00:54:00",877438,0,15.15,80.1,755.6414
"2021-08-10 00:55:00",877439,0,15.13,79.56,755.6281
"2021-08-10 00:56:00",877440,0,15.12,79.34,755.616
"2021-08-10 00:57:00",877441,0,15.14,79.27,755.5976
"2021-08-10 00:58:00",877442,0,15.21,79.16,755.5859
"2021-08-10 00:59:00",877443,0,15.22,78.95,755.5611
"2021-08-10 01:00:00",877444,0,15.25,78.65,755.5519
"2021-08-10 01:01:00",877445,0,15.23,78.49,755.5354
"2021-08-10 01:02:00",877446,0,15.17,78.43,755.5329
"2021-08-10 01:03:00",877447,0,15.15,78.45,755.5213
"2021-08-10 01:04:00",877448,0,15.13,78.39,755.5221
"2021-08-10 01:05:00",877449,0,15.11,77.54,755.5144
"2021-08-10 01:06:00",877450,0,15.11,77.39,755.5055
"2021-08-10 01:07:00",877451,0,15.09,77.31,755.5021
"2021-08-10 01:08:00",877452,0,15.1,77.33,755.5158
"2021-08-10 01:09:00",877453,0,15.08,77.28,755.4886
"2021-08-10 01:10:00",877454,0,15.07,77.13,755.4814
"2021-08-10 01:11:00",877455,0,14.99,76.08,755.4803
"2021-08-10 01:12:00",877456,0,15.07,76.71,755.4687
"2021-08-10 01:13:00",877457,0,15.09,76.93,755.4561
"2021-08-10 01:14:00",877458,0,15.09,76.78,755.4421
"2021-08-10 01:15:00",877459,0,15,76.17,755.4165
"2021-08-10 01:16:00",877460,0,15.03,76.46,755.4052
"2021-08-10 01:17:00",877461,0,15.01,76.06,755.4093
"2021-08-10 01:18:00",877462,0,15.03,75.57,755.4202
"2021-08-10 01:19:00",877463,0,14.93,73.7,755.4245
"2021-08-10 01:20:00",877464,0,14.94,72.61,755.4301
"2021-08-10 01:21:00",877465,0,14.99,72.65,755.4458
"2021-08-10 01:22:00",877466,0,15.02,72.81,755.4551
"2021-08-10 01:23:00",877467,0,15.02,72.66,755.4455
"2021-08-10 01:24:00",877468,0,14.98,72.25,755.433
"2021-08-10 01:25:00",877469,0,14.95,72.03,755.4194
"2021-08-10 01:26:00",877470,0,14.92,71.02,755.4018
"2021-08-10 01:27:00",877471,0,14.92,70.56,755.3905
"2021-08-10 01:28:00",877472,0,15,70.79,755.3904
"2021-08-10 01:29:00",877473,0,15.04,70.93,755.3777
"2021-08-10 01:30:00",877474,0,15.08,71.34,755.3795
"2021-08-10 01:31:00",877475,0,15.11,71.61,755.3918
"2021-08-10 01:32:00",877476,0,15.02,70.9,755.3943
"2021-08-10 01:33:00",877477,0,14.94,70.62,755.4055
"2021-08-10 01:34:00",877478,0,14.91,70.9,755.4086
"2021-08-10 01:35:00",877479,0,14.86,70.86,755.4079
"2021-08-10 01:36:00",877480,0,14.75,69.32,755.412
"2021-08-10 01:37:00",877481,0,14.79,68.99,755.4128
"2021-08-10 01:38:00",877482,0,14.82,69.28,755.431
"2021-08-10 01:39:00",877483,0,14.8,69.19,755.4162
"2021-08-10 01:40:00",877484,0,14.77,68.15,755.4231
"2021-08-10 01:41:00",877485,0,14.78,68.21,755.4225
"2021-08-10 01:42:00",877486,0,14.76,68.04,755.4056
"2021-08-10 01:43:00",877487,0,14.76,68.49,755.3928
"2021-08-10 01:44:00",877488,0,14.78,68.73,755.3731
"2021-08-10 01:45:00",877489,0,14.81,69.14,755.3661
"2021-08-10 01:46:00",877490,0,14.78,69.6,755.3552
"2021-08-10 01:47:00",877491,0,14.73,70.37,755.3594
"2021-08-10 01:48:00",877492,0,14.65,70.95,755.3644
"2021-08-10 01:49:00",877493,0,14.56,71.27,755.3374
"2021-08-10 01:50:00",877494,0,14.53,71.1,755.3194
"2021-08-10 01:51:00",877495,0,14.54,70.82,755.3147
